LFM_PROFILE | model.embed_tokens | GET_ROWS | 20
LFM_PROFILE | cache_r_l0 (reshaped) (view) (view) | SCALE | 9
LFM_PROFILE | cache_r_l0 (reshaped) | GET_ROWS | 55
LFM_PROFILE | cache_r_l0 (reshaped) | GET_ROWS | 0
LFM_PROFILE | cache_r_l0 (view) (copy of ) | CPY | 0
LFM_PROFILE | norm-0 | RMS_NORM | 30
LFM_PROFILE | model.layers.{}.operator_norm-0 | MUL | 6
LFM_PROFILE | model.layers.{}.conv.in_proj-0 | MUL_MAT | 9126
LFM_PROFILE | model.layers.{}.conv.in_proj-0 (view) | MUL | 9
LFM_PROFILE | node_5 (reshaped) | CONCAT | 137
LFM_PROFILE | cache_r_l0 (view) (copy of  (view)) | CPY | 2
LFM_PROFILE | cache_r_l1 (reshaped) (view) (view) | SCALE | 9
LFM_PROFILE | cache_r_l1 (reshaped) | GET_ROWS | 6
LFM_PROFILE | cache_r_l1 (reshaped) | GET_ROWS | 0
LFM_PROFILE | cache_r_l1 (view) (copy of ) | CPY | 0
LFM_PROFILE | model.layers.{}.conv.conv-0 | SSM_CONV | 5
LFM_PROFILE | model.layers.{}.conv.in_proj-0 (view) | MUL | 7
LFM_PROFILE | model.layers.{}.conv.out_proj-0 | MUL_MAT | 3535
LFM_PROFILE | model.embed_tokens | ADD | 11
LFM_PROFILE | norm-0 | RMS_NORM | 23
LFM_PROFILE | model.layers.{}.ffn_out-0 | MUL | 6
LFM_PROFILE | ffn_gate-0 | MUL_MAT | 12487
LFM_PROFILE | ffn_up-0 | MUL_MAT | 12552
LFM_PROFILE | ffn_swiglu-0 | GLU | 216
LFM_PROFILE | blk.0.ffn_down.weight | MUL_MAT | 16842
LFM_PROFILE | node_36 | ADD | 11
LFM_PROFILE | norm-1 | RMS_NORM | 23
LFM_PROFILE | model.layers.{}.operator_norm-1 | MUL | 6
LFM_PROFILE | model.layers.{}.conv.in_proj-1 | MUL_MAT | 7767
LFM_PROFILE | model.layers.{}.conv.in_proj-1 (view) | MUL | 10
LFM_PROFILE | node_26 (reshaped) | CONCAT | 74
LFM_PROFILE | cache_r_l1 (view) (copy of  (view)) | CPY | 3
LFM_PROFILE | model.layers.{}.conv.conv-1 | SSM_CONV | 7
LFM_PROFILE | model.layers.{}.conv.in_proj-1 (view) | MUL | 10
LFM_PROFILE | model.layers.{}.conv.out_proj-1 | MUL_MAT | 2963
LFM_PROFILE | node_43 | ADD | 13
LFM_PROFILE | norm-1 | RMS_NORM | 24
LFM_PROFILE | model.layers.{}.ffn_out-1 | MUL | 9
LFM_PROFILE | ffn_gate-1 | MUL_MAT | 11353
