Resource,Utilization,Available,Utilization %
LUT,104874,117120,89.54
LUTRAM,18227,57600,31.64
FF,106504,234240,45.47
BRAM,86.50,144,60.07
URAM,8,64,12.50
DSP,324,1248,25.96

Name,CLB LUTs (117120),CLB Registers (234240),CARRY8 (14640),F7 Muxes (58560),F8 Muxes (29280),CLB (14640),LUT as Logic (117120),LUT as Memory (57600),Block RAM Tile (144),URAM (64),DSPs (1248),BUFGCE (112),BUFG_PS (96),PS8 (1)
design_1_wrapper,104874,106504,1503,8410,166,14624,86647,18227,86.5,8,324,3,1,1
design_1_i (design_1),104874,106504,1503,8410,166,14624,86647,18227,86.5,8,324,3,1,1
axi_smc,735,807,5,3,0,251,734,1,0,0,0,0,0,0
rst_ps8_0_99M,16,77,0,0,0,57,15,1,0,0,0,0,0,0
smartconnect_0,3024,5609,0,0,0,1010,2190,834,0,0,0,0,0,0
smartconnect_1,358,507,0,0,0,113,201,157,0,0,0,0,0,0
smartconnect_3,357,503,0,0,0,100,200,157,0,0,0,0,0,0
swiglu_0,100396,99001,1498,8407,166,14203,83319,17077,86.5,8,324,3,0,0
U0,100396,99001,1498,8407,166,14203,83319,17077,86.5,8,324,3,0,0
compute_gate_U0,3308,4005,198,133,32,809,3158,150,4,0,22,0,0,0
compute_output_U0,59686,53169,597,5132,2,9219,49111,10575,2,0,158,3,0,0
compute_X1_U0,14676,16283,233,1416,66,2990,13001,1675,32,0,72,0,0,0
compute_X2_U0,14597,16298,233,1416,66,2574,12922,1675,32,0,72,0,0,0
CTRL_s_axi_U,405,438,0,0,0,157,405,0,0,0,0,0,0,0
gate_scale_U,24,70,0,0,0,33,24,0,0,0,0,0,0,0
gmem_out_m_axi_U,833,1054,41,63,0,263,644,189,0.5,0,0,0,0,0
gmem_V_m_axi_U,762,988,32,62,0,274,576,186,2,0,0,0,0,0
gmem_W_m_axi_U,764,988,32,62,0,215,578,186,2,0,0,0,0,0
gmem_Wd_m_axi_U,701,913,24,62,0,210,515,186,2,0,0,0,0,0
gmem_x_m_axi_U,731,900,28,61,0,291,548,183,2,0,0,0,0,0
load_x_local_U0,82,223,0,0,0,90,58,24,0,0,0,0,0,0
