=== CPU Only | T=4 | R=10 ===

[09:09:59] Running llama-bench (CPU Only)...
1779181799 power=4410 rss=3248 lpdt=27 plt=25
1779181800 power=4140 rss=3248 lpdt=26 plt=25
1779181802 power=4330 rss=3248 lpdt=26 plt=26
1779181803 power=4330 rss=3248 lpdt=25 plt=25
1779181804 power=4370 rss=3248 lpdt=26 plt=26
1779181806 power=4220 rss=3168 lpdt=25 plt=24
1779181808 power=4850 rss=3168 lpdt=25 plt=26
1779181809 power=4750 rss=3168 lpdt=26 plt=25
1779181811 power=4770 rss=3168 lpdt=26 plt=26
1779181812 power=4810 rss=3168 lpdt=25 plt=24
1779181814 power=4810 rss=3168 lpdt=27 plt=25
1779181816 power=4980 rss=3168 lpdt=26 plt=26
1779181817 power=4790 rss=3168 lpdt=26 plt=25
1779181819 power=4830 rss=3168 lpdt=27 plt=26
| model                          |       size |     params | backend    | threads |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | ------: | --------------: | -------------------: |
| lfm2 1.2B Q4_K - Medium        | 628.25 MiB |     1.17 B | CPU        |       4 |             pp4 |          3.47 ± 0.33 |
1779181820 power=5180 rss=3168 lpdt=27 plt=25
1779181822 power=4980 rss=3168 lpdt=26 plt=25
1779181823 power=5080 rss=3168 lpdt=26 plt=24
1779181825 power=4840 rss=3168 lpdt=26 plt=25
1779181826 power=4900 rss=3168 lpdt=27 plt=25
1779181828 power=5160 rss=3168 lpdt=28 plt=25
1779181829 power=5050 rss=3168 lpdt=27 plt=26
1779181831 power=5030 rss=3168 lpdt=27 plt=26
1779181832 power=5090 rss=3168 lpdt=26 plt=26
1779181834 power=4900 rss=3168 lpdt=27 plt=25
1779181835 power=4980 rss=3168 lpdt=27 plt=27
1779181837 power=5190 rss=3168 lpdt=28 plt=26
1779181838 power=5010 rss=3168 lpdt=27 plt=26
1779181840 power=4950 rss=3168 lpdt=26 plt=24
1779181842 power=5190 rss=3168 lpdt=27 plt=25
1779181843 power=4860 rss=3168 lpdt=27 plt=25
1779181845 power=4850 rss=3168 lpdt=28 plt=26
1779181846 power=5120 rss=3168 lpdt=26 plt=25
1779181848 power=4980 rss=3168 lpdt=27 plt=27
1779181849 power=4960 rss=3168 lpdt=26 plt=25
1779181851 power=4880 rss=3168 lpdt=27 plt=25
1779181852 power=4920 rss=3168 lpdt=27 plt=26
1779181854 power=5050 rss=3168 lpdt=28 plt=26
1779181855 power=5240 rss=3168 lpdt=27 plt=26
1779181857 power=5050 rss=3168 lpdt=27 plt=27
1779181858 power=5000 rss=3168 lpdt=27 plt=26
1779181859 power=4610 rss=3168 lpdt=28 plt=25
1779181861 power=5080 rss=3168 lpdt=28 plt=26
1779181862 power=5160 rss=3168 lpdt=26 plt=26
1779181864 power=5150 rss=3168 lpdt=27 plt=25
1779181865 power=5150 rss=3168 lpdt=28 plt=25
1779181867 power=4880 rss=3168 lpdt=27 plt=26
1779181868 power=4910 rss=3168 lpdt=28 plt=26
1779181870 power=5140 rss=3168 lpdt=28 plt=26
1779181871 power=4910 rss=3168 lpdt=28 plt=24
1779181873 power=4810 rss=3168 lpdt=28 plt=26
1779181875 power=4950 rss=3168 lpdt=25 plt=25
1779181876 power=5130 rss=3168 lpdt=27 plt=25
1779181878 power=5260 rss=3168 lpdt=27 plt=25
1779181879 power=4820 rss=3168 lpdt=29 plt=26
1779181881 power=5130 rss=3168 lpdt=27 plt=25
1779181882 power=5040 rss=3168 lpdt=29 plt=26
1779181883 power=4980 rss=3168 lpdt=28 plt=26
1779181885 power=5140 rss=3168 lpdt=28 plt=26
1779181886 power=5080 rss=3168 lpdt=26 plt=26
1779181888 power=5130 rss=3168 lpdt=28 plt=26
1779181889 power=5140 rss=3168 lpdt=26 plt=26
1779181891 power=4910 rss=3168 lpdt=27 plt=26
1779181892 power=5040 rss=3168 lpdt=28 plt=26
1779181894 power=5090 rss=3168 lpdt=26 plt=26
1779181895 power=5010 rss=3168 lpdt=26 plt=25
1779181897 power=4860 rss=3168 lpdt=27 plt=26
1779181898 power=5160 rss=3168 lpdt=29 plt=26
1779181900 power=4860 rss=3168 lpdt=28 plt=27
1779181901 power=4910 rss=3168 lpdt=28 plt=24
1779181903 power=4880 rss=3168 lpdt=28 plt=26
1779181904 power=5060 rss=3168 lpdt=27 plt=26
1779181906 power=5140 rss=3168 lpdt=28 plt=27
1779181907 power=5030 rss=3168 lpdt=28 plt=27
1779181908 power=4960 rss=3168 lpdt=28 plt=27
1779181910 power=5080 rss=3168 lpdt=27 plt=26
1779181911 power=4810 rss=3168 lpdt=27 plt=26
1779181913 power=5150 rss=3168 lpdt=27 plt=26
1779181914 power=4960 rss=3168 lpdt=28 plt=25
1779181916 power=5140 rss=3168 lpdt=27 plt=25
1779181917 power=5100 rss=3168 lpdt=26 plt=26
1779181919 power=5010 rss=3168 lpdt=28 plt=26
1779181920 power=5170 rss=3168 lpdt=28 plt=27
1779181922 power=5150 rss=3168 lpdt=28 plt=27
1779181924 power=4830 rss=3168 lpdt=27 plt=26
