threads,mode,phase,throughput_tokens_per_s,latency_us_per_token,power_w,energy_j_per_token,perf_per_w_tokens_per_s_per_w
T1,CPU,Prefill,1.100000,909090.909091,4.782860,4.348055,0.229988
T1,CPU,Decode,0.970000,1030927.835052,4.782860,4.930784,0.202808
T1,FPGA,Prefill,1.830000,546448.087432,4.857242,2.654231,0.376757
T1,FPGA,Decode,1.530000,653594.771242,4.857242,3.174668,0.314994
T2,CPU,Prefill,2.190000,456621.004566,5.095709,2.326808,0.429773
T2,CPU,Decode,1.070000,934579.439252,5.095709,4.762344,0.209981
T2,FPGA,Prefill,2.350000,425531.914894,5.018083,2.135355,0.468306
T2,FPGA,Decode,2.030000,492610.837438,5.018083,2.471962,0.404537
T3,CPU,Prefill,3.060000,326797.385621,5.997500,1.959967,0.510213
T3,CPU,Decode,2.610000,383141.762452,5.997500,2.297893,0.435181
T3,FPGA,Prefill,2.550000,392156.862745,5.716575,2.241794,0.446071
T3,FPGA,Decode,2.220000,450450.450450,5.716575,2.575034,0.388344
T4,CPU,Prefill,3.270000,305810.397554,5.206524,1.592209,0.628058
T4,CPU,Decode,2.510000,398406.374502,5.206524,2.074312,0.482087
T4,FPGA,Prefill,2.470000,404858.299595,5.056597,2.047205,0.488471
T4,FPGA,Decode,2.080000,480769.230769,5.056597,2.431056,0.411344
